OG0000000	sp|C0HL66|H33A_DROME Histone H3.3A OS=Drosophila melanogaster OX=7227 GN=His3.3A PE=1 SV=1
OG0000014	sp|Q9NBX4|RTXE_DROME Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster OX=7227 GN=X-element\ORF2 PE=3 SV=1
OG0000015	sp|P18288|TBAT_ONCMY Tubulin alpha chain testis-specific OS=Oncorhynchus mykiss OX=8022 PE=2 SV=1
OG0000016	sp|P21328|RTJK_DROME RNA-directed DNA polymerase from mobile element jockey OS=Drosophila melanogaster OX=7227 GN=pol PE=1 SV=1
OG0000017	sp|Q960X8|HRS_DROME Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Drosophila melanogaster OX=7227 GN=Hrs PE=1 SV=1
OG0000018	sp|Q96RW7|HMCN1_HUMAN Hemicentin-1 OS=Homo sapiens OX=9606 GN=HMCN1 PE=1 SV=2
OG0000019	sp|B3EWZ3|CADN_ACRMI Coadhesin (Fragment) OS=Acropora millepora OX=45264 PE=1 SV=1
OG0000020	sp|Q920F6|SMC1B_MOUSE Structural maintenance of chromosomes protein 1B OS=Mus musculus OX=10090 GN=Smc1b PE=1 SV=1
OG0000021	sp|Q91372|DDX4_XENLA Probable ATP-dependent RNA helicase DDX4 OS=Xenopus laevis OX=8355 GN=ddx4 PE=2 SV=1
OG0000023	sp|Q588U8|CFDP2_TRAJA Craniofacial development protein 2 OS=Tragulus javanicus OX=9849 GN=CFDP2 PE=2 SV=1
OG0000024	sp|P39057|DYHC_HELCR Dynein beta chain 14 axonemal (Fragment) OS=Rattus norvegicus OX=10116 GN=Dnah5 PE=1 SV=3
OG0000025	sp|P16423|POLR_DROME Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM OS=Drosophila melanogaster OX=7227 GN=pol PE=3 SV=1
OG0000026	sp|O18783|PLMN_MACEU Plasminogen OS=Macropus eugenii OX=9315 GN=PLG PE=2 SV=1
OG0000027	sp|Q8H166|ALEU_ARATH Thiol protease aleurain OS=Arabidopsis thaliana OX=3702 GN=ALEU PE=1 SV=2
OG0000028	sp|P18603|ACT4_ARTSX Actin clone 403 OS=Artemia sp. OX=6662 PE=2 SV=1
OG0000029	sp|P49154|RS2_URECA 40S ribosomal protein S2 OS=Urechis caupo OX=6431 GN=RPS2 PE=2 SV=1
OG0000030	sp|P67774|PP2AA_BOVIN Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform OS=Bos taurus OX=9913 GN=PPP2CA PE=1 SV=1
OG0000031	sp|P16425|Y2R2_DROME Putative 115 kDa protein in type-1 retrotransposable element R1DM OS=Drosophila melanogaster OX=7227 GN=R1A1-element\ORF2 PE=4 SV=1
OG0000032	sp|Q49GP5|P4K2B_DANRE Phosphatidylinositol 4-kinase type 2-beta OS=Danio rerio OX=7955 GN=pi4k2b PE=2 SV=1
OG0000033	sp|Q94HW2|POLR1_ARATH Retrovirus-related Pol polyprotein from transposon RE1 OS=Arabidopsis thaliana OX=3702 GN=RE1 PE=2 SV=1
OG0000036	sp|Q09575|YRD6_CAEEL Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans OX=6239 GN=K02A2.6 PE=4 SV=1
OG0000038	sp|Q9NBX4|RTXE_DROME Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster OX=7227 GN=X-element\ORF2 PE=3 SV=1
OG0000039	sp|Q9UGM3|DMBT1_HUMAN Deleted in malignant brain tumors 1 protein OS=Homo sapiens OX=9606 GN=DMBT1 PE=1 SV=2
OG0000040	sp|B3EWZ5|MLRP1_ACRMI MAM and LDL-receptor class A domain-containing protein 1 (Fragment) OS=Acropora millepora OX=45264 PE=1 SV=1
OG0000041	sp|Q94571|TBB2_HOMAM Tubulin beta-2 chain OS=Homarus americanus OX=6706 PE=2 SV=1
OG0000042	sp|Q3MSQ8|DDX4_PELLE Probable ATP-dependent RNA helicase DDX4 OS=Pelophylax lessonae OX=45623 GN=ddx4 PE=2 SV=1
OG0000043	sp|Q9WVK8|CP46A_MOUSE Cholesterol 24-hydroxylase OS=Mus musculus OX=10090 GN=Cyp46a1 PE=1 SV=1
OG0000044	sp|O57422|OPN4B_XENLA Melanopsin-B OS=Xenopus laevis OX=8355 GN=opn4b PE=2 SV=1
OG0000045	sp|Q9UBG0|MRC2_HUMAN C-type mannose receptor 2 OS=Homo sapiens OX=9606 GN=MRC2 PE=1 SV=2
OG0000046	sp|P30638|SVOP_CAEEL Putative transporter svop-1 OS=Caenorhabditis elegans OX=6239 GN=svop-1 PE=3 SV=5
OG0000049	sp|Q8LA13|RH11_ARATH DEAD-box ATP-dependent RNA helicase 11 OS=Arabidopsis thaliana OX=3702 GN=RH11 PE=1 SV=1
OG0000050	sp|Q95SX7|RTBS_DROME Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster OX=7227 GN=RTase PE=2 SV=1
OG0000052	sp|P39087|GRIK2_MOUSE Glutamate receptor ionotropic kainate 2 OS=Mus musculus OX=10090 GN=Grik2 PE=1 SV=4
OG0000053	sp|P36178|CTRB2_PENVA Chymotrypsin BII OS=Penaeus vannamei OX=6689 PE=1 SV=1
OG0000054	sp|Q17388|FER1_CAEEL Sperm vesicle fusion protein 5 OS=Mus musculus OX=10090 GN=Fer1l4 PE=2 SV=3
OG0000055	sp|P30974|TLR1_DROME Tachykinin-like peptides receptor 86C OS=Drosophila melanogaster OX=7227 GN=TkR86C PE=2 SV=2
OG0000056	sp|Q9XYN1|INX2_SCHAM Innexin inx2 OS=Schistocerca americana OX=7009 GN=inx2 PE=1 SV=1
OG0000057	sp|Q588U8|CFDP2_TRAJA Craniofacial development protein 2 OS=Tragulus javanicus OX=9849 GN=CFDP2 PE=2 SV=1
OG0000058	sp|Q8IVV2|LOXH1_HUMAN Lipoxygenase homology domain-containing protein 1 OS=Homo sapiens OX=9606 GN=LOXHD1 PE=2 SV=4
OG0000060	sp|Q91060|TBA_NOTVI Tubulin alpha chain OS=Notophthalmus viridescens OX=8316 PE=2 SV=1
OG0000061	sp|Q99315|YG31B_YEAST Transposon Ty3-G Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY3B-G PE=1 SV=3
OG0000062	sp|Q9NBX4|RTXE_DROME Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster OX=7227 GN=X-element\ORF2 PE=3 SV=1
OG0000063	sp|Q761V0|SC6A5_MOUSE Sodium- and chloride-dependent glycine transporter 2 OS=Mus musculus OX=10090 GN=Slc6a5 PE=1 SV=1
OG0000064	sp|P04323|POL3_DROME Retrovirus-related Pol polyprotein from transposon 17.6 OS=Drosophila melanogaster OX=7227 GN=pol PE=3 SV=1
OG0000065	sp|A2TIL1|GSHR_CALJA Glutathione reductase mitochondrial OS=Callithrix jacchus OX=9483 GN=GSR PE=2 SV=1
OG0000066	sp|P28492|GLSL_RAT Glutaminase liver isoform mitochondrial OS=Rattus norvegicus OX=10116 GN=Gls2 PE=2 SV=3
OG0000067	sp|Q9SIE0|ALKB2_ARATH DNA oxidative demethylase ALKBH2 OS=Arabidopsis thaliana OX=3702 GN=ALKBH2 PE=2 SV=2
OG0000068	sp|Q9L6M5|UBIJ_SALTY Ubiquinone biosynthesis protein UbiJ OS=Salmonella typhimurium (strain LT2 / ATCC 700720) OX=99287 GN=ubiJ PE=3 SV=1
OG0000069	sp|Q9S9N1|HSP7E_ARATH Heat shock-related 70 B2 OS=Anopheles albimanus OX=7167 GN=HSP70B2 PE=3 SV=2
OG0000070	sp|Q25414|5HTR_LYMST 5-hydroxytryptamine receptor OS=Lymnaea stagnalis OX=6523 PE=2 SV=1
OG0000072	sp|Q96RW7|HMCN1_HUMAN Hemicentin-1 OS=Homo sapiens OX=9606 GN=HMCN1 PE=1 SV=2
OG0000073	sp|A4IGM4|DHI1L_XENTR Hydroxysteroid 11-beta-dehydrogenase 1-like protein OS=Xenopus tropicalis OX=8364 GN=hsd11b1l PE=2 SV=1
OG0000074	sp|P34329|PDIA4_CAEEL Probable protein disulfide-isomerase A4 OS=Caenorhabditis elegans OX=6239 GN=C14B9.2 PE=3 SV=2
OG0000076	sp|Q0VD31|FBXL4_BOVIN F-box/LRR-repeat protein 4 OS=Bos taurus OX=9913 GN=FBXL4 PE=2 SV=1
OG0000077	sp|P46023|GR101_LYMST G-protein coupled receptor GRL101 OS=Lymnaea stagnalis OX=6523 PE=2 SV=1
OG0000078	sp|O18783|PLMN_MACEU Plasminogen OS=Macropus eugenii OX=9315 GN=PLG PE=2 SV=1
OG0000079	sp|Q94HW2|POLR1_ARATH Retrovirus-related Pol polyprotein from transposon RE1 OS=Arabidopsis thaliana OX=3702 GN=RE1 PE=2 SV=1
OG0000080	sp|Q5UQ78|YR517_MIMIV Putative serine/threonine-protein kinase R517/R518 OS=Acanthamoeba polyphaga mimivirus OX=212035 GN=MIMI_R517 PE=3 SV=2
OG0000082	sp|P11055|MYH3_HUMAN Myosin-3 OS=Mus musculus OX=10090 GN=Myh3 PE=2 SV=2
OG0000083	sp|Q96RR4|KKCC2_HUMAN Calcium/calmodulin-dependent protein kinase 2 OS=Homo sapiens OX=9606 GN=CAMKK2 PE=1 SV=2
OG0000084	sp|D3YXG0|HMCN1_MOUSE Hemicentin-1 OS=Mus musculus OX=10090 GN=Hmcn1 PE=1 SV=1
OG0000085	sp|Q6P4S8|INT1_MOUSE Integrator complex subunit 1 OS=Mus musculus OX=10090 GN=Ints1 PE=1 SV=2
OG0000087	sp|P18258|TBA1_PARLI Tubulin alpha-1 chain OS=Paracentrotus lividus OX=7656 PE=2 SV=1
OG0000088	sp|Q58D55|BGAL_BOVIN Beta-galactosidase OS=Bos taurus OX=9913 GN=GLB1 PE=2 SV=1
OG0000089	sp|Q3SWW9|PP1B_BOVIN Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Bos taurus OX=9913 GN=PPP1CB PE=2 SV=1
OG0000091	sp|A2ANX9|ZN711_MOUSE Zinc finger protein 711 OS=Mus musculus OX=10090 GN=Znf711 PE=3 SV=1
OG0000092	sp|Q9VLV5|RUXE_DROME Probable small nuclear ribonucleoprotein E OS=Drosophila melanogaster OX=7227 GN=SmE PE=1 SV=1
OG0000093	sp|D2HRF1|CMTR1_AILME Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 OS=Ailuropoda melanoleuca OX=9646 GN=CMTR1 PE=3 SV=1
OG0000094	sp|P14046|A1I3_RAT Alpha-1-inhibitor 3 OS=Rattus norvegicus OX=10116 GN=A1i3 PE=1 SV=1
OG0000095	sp|B3EWZ3|CADN_ACRMI Coadhesin (Fragment) OS=Acropora millepora OX=45264 PE=1 SV=1
OG0000096	sp|D3YXG0|HMCN1_MOUSE Hemicentin-1 OS=Mus musculus OX=10090 GN=Hmcn1 PE=1 SV=1
OG0000097	sp|F1QEG2|KL41B_DANRE Kelch-like protein 41b OS=Danio rerio OX=7955 GN=klhl41b PE=2 SV=1
OG0000098	sp|P16112|PGCA_HUMAN Aggrecan core protein OS=Homo sapiens OX=9606 GN=ACAN PE=1 SV=3
OG0000099	sp|O76082|S22A5_HUMAN Solute carrier family 22 member 5 OS=Homo sapiens OX=9606 GN=SLC22A5 PE=1 SV=1
OG0000100	sp|P16423|POLR_DROME Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM OS=Drosophila melanogaster OX=7227 GN=pol PE=3 SV=1
OG0000101	sp|Q9NBX4|RTXE_DROME Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster OX=7227 GN=X-element\ORF2 PE=3 SV=1
OG0000102	sp|D3YXG0|HMCN1_MOUSE Hemicentin-1 OS=Mus musculus OX=10090 GN=Hmcn1 PE=1 SV=1
OG0000104	sp|Q8CJ11|AGRG2_RAT Adhesion G-protein coupled receptor G2 OS=Rattus norvegicus OX=10116 GN=Adgrg2 PE=1 SV=1
OG0000105	sp|Q9P283|SEM5B_HUMAN Semaphorin-5B OS=Homo sapiens OX=9606 GN=SEMA5B PE=2 SV=4
OG0000106	sp|Q869C3|ACES_ANOGA Acetylcholinesterase OS=Anopheles gambiae OX=7165 GN=Ace PE=1 SV=3
OG0000107	sp|Q08DF4|DYN1_BOVIN Dynamin-1 OS=Bos taurus OX=9913 GN=DNM1 PE=2 SV=1
OG0000108	sp|P08572|CO4A2_HUMAN Collagen alpha-2(IV) chain OS=Homo sapiens OX=9606 GN=COL4A2 PE=1 SV=4
OG0000109	sp|Q7LHG5|YI31B_YEAST Transposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY3B-I PE=3 SV=2
OG0000110	sp|Q96Q83|ALKB3_HUMAN Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 OS=Homo sapiens OX=9606 GN=ALKBH3 PE=1 SV=1
OG0000111	sp|A2AVA0|SVEP1_MOUSE Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1 OS=Mus musculus OX=10090 GN=Svep1 PE=1 SV=1
OG0000112	sp|P16425|Y2R2_DROME Putative 115 kDa protein in type-1 retrotransposable element R1DM OS=Drosophila melanogaster OX=7227 GN=R1A1-element\ORF2 PE=4 SV=1
OG0000113	sp|Q8BL97|SRSF7_MOUSE Serine/arginine-rich splicing factor 7 OS=Mus musculus OX=10090 GN=Srsf7 PE=1 SV=1
OG0000114	sp|Q8ITI5|FOXG1_MNELE Forkhead box protein G1 OS=Mnemiopsis leidyi OX=27923 GN=FOXG1 PE=2 SV=1
OG0000115	sp|P19070|CR2_MOUSE Complement receptor type 2 OS=Mus musculus OX=10090 GN=Cr2 PE=1 SV=1
OG0000116	sp|Q9UNW9|NOVA2_HUMAN RNA-binding protein Nova-2 OS=Homo sapiens OX=9606 GN=NOVA2 PE=1 SV=1
OG0000117	sp|Q96JB1|DYH8_HUMAN Dynein heavy chain 8 axonemal OS=Homo sapiens OX=9606 GN=DNAH8 PE=1 SV=2
OG0000118	sp|Q8K1E6|ALKB3_MOUSE Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 OS=Mus musculus OX=10090 GN=Alkbh3 PE=1 SV=1
OG0000120	sp|P0C7U5|C5AR1_DANRE C5a anaphylatoxin chemotactic receptor 1 OS=Danio rerio OX=7955 GN=c5ar1 PE=3 SV=1
OG0000121	sp|G5EBU4|ZAG1_CAEEL Zinc finger E-box-binding homeobox protein zag-1 OS=Caenorhabditis elegans OX=6239 GN=zag-1 PE=2 SV=1
OG0000122	sp|Q5R801|AAKB1_PONAB 5'-AMP-activated protein kinase subunit beta-1 OS=Pongo abelii OX=9601 GN=PRKAB1 PE=2 SV=3
OG0000123	sp|O94759|TRPM2_HUMAN Transient receptor potential cation channel subfamily M member 2 OS=Homo sapiens OX=9606 GN=TRPM2 PE=1 SV=2
OG0000124	sp|Q6INL2|KLH30_XENLA Kelch-like protein 30 OS=Xenopus laevis OX=8355 GN=klhl30 PE=2 SV=1
OG0000125	sp|Q95SX7|RTBS_DROME Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster OX=7227 GN=RTase PE=2 SV=1
OG0000126	sp|P06867|PLMN_PIG Plasminogen OS=Sus scrofa OX=9823 GN=PLG PE=1 SV=3
OG0000127	sp|Q9NBX4|RTXE_DROME Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster OX=7227 GN=X-element\ORF2 PE=3 SV=1
OG0000129	sp|B3EWZ3|CADN_ACRMI Coadhesin (Fragment) OS=Acropora millepora OX=45264 PE=1 SV=1
OG0000130	sp|Q6CDH3|PABP_YARLI Polyadenylate-binding protein cytoplasmic and nuclear OS=Yarrowia lipolytica (strain CLIB 122 / E 150) OX=284591 GN=PAB1 PE=3 SV=1
OG0000131	sp|O15992|KARG_ANTJA Arginine kinase OS=Anthopleura japonica OX=67755 PE=1 SV=1
OG0000132	sp|Q8H166|ALEU_ARATH Thiol protease aleurain OS=Arabidopsis thaliana OX=3702 GN=ALEU PE=1 SV=2
OG0000133	sp|Q09225|NRF6_CAEEL Nose resistant to fluoxetine protein 6 OS=Caenorhabditis elegans OX=6239 GN=nrf-6 PE=1 SV=3
OG0000134	sp|Q9H611|PIF1_HUMAN ATP-dependent DNA helicase PIF1 OS=Homo sapiens OX=9606 GN=PIF1 PE=1 SV=2
OG0000135	sp|O15439|MRP4_HUMAN Multidrug resistance-associated protein 4 OS=Homo sapiens OX=9606 GN=ABCC4 PE=1 SV=3
OG0000136	sp|P10394|POL4_DROME Retrovirus-related Pol polyprotein from transposon 412 OS=Drosophila melanogaster OX=7227 GN=POL PE=3 SV=1
OG0000138	sp|P04323|POL3_DROME Retrovirus-related Pol polyprotein from transposon 17.6 OS=Drosophila melanogaster OX=7227 GN=pol PE=3 SV=1
OG0000139	sp|P57347|LEP_BUCAI Signal peptidase I OS=Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) OX=107806 GN=lepB PE=3 SV=1
OG0000140	sp|Q4LDE5|SVEP1_HUMAN Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SVEP1 PE=1 SV=3
OG0000141	sp|Q99570|PI3R4_HUMAN Phosphoinositide 3-kinase regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PIK3R4 PE=1 SV=3
OG0000142	sp|P28799|GRN_HUMAN Granulins OS=Homo sapiens OX=9606 GN=GRN PE=1 SV=2
OG0000143	sp|Q3B3Y0|PURL_CHLL7 Phosphoribosylformylglycinamidine synthase subunit PurL OS=Chlorobium luteolum (strain DSM 273 / 2530) OX=319225 GN=purL PE=3 SV=1
OG0000145	sp|P69004|ACT2_MESFR Actin-15B OS=Mesocentrotus franciscanus OX=1328066 PE=2 SV=1
OG0000146	sp|Q8BFT9|SVOP_MOUSE Synaptic vesicle 2-related protein OS=Mus musculus OX=10090 GN=Svop PE=1 SV=1
OG0000147	sp|P68362|TBA1A_CRIGR Tubulin alpha-1A chain OS=Cricetulus griseus OX=10029 GN=TUBA1A PE=2 SV=1
OG0000148	sp|Q16YG0|CDC42_AEDAE Cdc42 homolog OS=Aedes aegypti OX=7159 GN=Cdc42 PE=3 SV=1
OG0000149	sp|Q9FVN0|AMT13_SOLLC Ammonium transporter 1 member 3 OS=Solanum lycopersicum OX=4081 GN=AMT1-3 PE=2 SV=1
OG0000150	sp|O95477|ABCA1_HUMAN ATP-binding cassette sub-family A member 1 OS=Homo sapiens OX=9606 GN=ABCA1 PE=1 SV=3
OG0000153	sp|P41413|PCSK5_RAT Proprotein convertase subtilisin/kexin type 5 OS=Rattus norvegicus OX=10116 GN=Pcsk5 PE=2 SV=3
OG0000154	sp|O70340|NPTX2_MOUSE Neuronal pentraxin-2 OS=Mus musculus OX=10090 GN=Nptx2 PE=2 SV=1
OG0000155	sp|O94759|TRPM2_HUMAN Transient receptor potential cation channel subfamily M member 2 OS=Homo sapiens OX=9606 GN=TRPM2 PE=1 SV=2
OG0000156	sp|Q6NUB3|S22AF_XENLA Solute carrier family 22 member 15 OS=Xenopus laevis OX=8355 GN=slc22a15 PE=2 SV=2
OG0000157	sp|P46023|GR101_LYMST G-protein coupled receptor GRL101 OS=Lymnaea stagnalis OX=6523 PE=2 SV=1
OG0000158	sp|Q58A42|DD3_DICDI Protein DD3-3 OS=Dictyostelium discoideum OX=44689 GN=DD3-3 PE=2 SV=1
OG0000159	sp|Q9NXS3|KLH28_HUMAN Kelch-like protein 28 OS=Homo sapiens OX=9606 GN=KLHL28 PE=2 SV=2
OG0000160	sp|P49263|PXN1_XENLA Pentraxin fusion protein OS=Xenopus laevis OX=8355 GN=pxn1 PE=2 SV=1
OG0000161	sp|P48149|RS15A_DROME 40S ribosomal protein S15Aa OS=Drosophila melanogaster OX=7227 GN=RpS15Aa PE=1 SV=2
OG0000162	sp|P14913|4CL2_PETCR 4-coumarate--CoA ligase 1 OS=Petroselinum crispum OX=4043 GN=4CL2 PE=2 SV=1
OG0000163	sp|O97507|FA12_PIG Coagulation factor XII OS=Sus scrofa OX=9823 GN=F12 PE=2 SV=1
OG0000164	sp|P20918|PLMN_MOUSE Plasminogen OS=Mus musculus OX=10090 GN=Plg PE=1 SV=3
OG0000165	sp|P21331|GAGJ_DROFU Nucleic-acid-binding protein from mobile element jockey OS=Drosophila funebris OX=7221 GN=gag PE=4 SV=1
OG0000166	sp|Q03278|PO21_NASVI Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 (Fragment) OS=Nasonia vitripennis OX=7425 PE=3 SV=2
OG0000167	sp|Q8H166|ALEU_ARATH Thiol protease aleurain OS=Arabidopsis thaliana OX=3702 GN=ALEU PE=1 SV=2
OG0000168	sp|Q8IZF6|AGRG4_HUMAN Adhesion G-protein coupled receptor G4 OS=Homo sapiens OX=9606 GN=ADGRG4 PE=2 SV=2
OG0000169	sp|Q9H583|HEAT1_HUMAN HEAT repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=HEATR1 PE=1 SV=3
OG0000170	sp|Q09274|UN105_CAEEL Degenerin-like protein unc-105 OS=Caenorhabditis elegans OX=6239 GN=unc-105 PE=1 SV=3
OG0000172	sp|Q641W4|RFC2_RAT Replication factor C subunit 2 OS=Rattus norvegicus OX=10116 GN=Rfc2 PE=2 SV=1
OG0000173	sp|Q92841|DDX17_HUMAN Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2
OG0000174	sp|P30875|SSR2_MOUSE Somatostatin receptor type 2 OS=Mus musculus OX=10090 GN=Sstr2 PE=2 SV=1
OG0000175	sp|B3EWZ6|MLRP2_ACRMI MAM and LDL-receptor class A domain-containing protein 2 (Fragment) OS=Acropora millepora OX=45264 PE=1 SV=1
OG0000176	sp|Q13332|PTPRS_HUMAN Receptor-type tyrosine-protein phosphatase S OS=Homo sapiens OX=9606 GN=PTPRS PE=1 SV=3
OG0000177	sp|P10394|POL4_DROME Retrovirus-related Pol polyprotein from transposon 412 OS=Drosophila melanogaster OX=7227 GN=POL PE=3 SV=1
OG0000178	sp|A0ZSK4|STXB_SYNVE Neoverrucotoxin subunit beta OS=Synanceia verrucosa OX=51996 PE=1 SV=1
OG0000179	sp|A7KAU2|S47A1_RABIT Multidrug and toxin extrusion protein 1 OS=Oryctolagus cuniculus OX=9986 GN=SLC47A1 PE=2 SV=1
OG0000180	sp|Q95SX7|RTBS_DROME Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster OX=7227 GN=RTase PE=2 SV=1
OG0000181	sp|Q3UVX5|GRM5_MOUSE Metabotropic glutamate receptor 5 OS=Mus musculus OX=10090 GN=Grm5 PE=1 SV=2
OG0000182	sp|Q8K078|SO4A1_MOUSE Solute carrier organic anion transporter family member 4A1 OS=Mus musculus OX=10090 GN=Slco4a1 PE=1 SV=2
OG0000183	sp|O18783|PLMN_MACEU Plasminogen OS=Macropus eugenii OX=9315 GN=PLG PE=2 SV=1
OG0000185	sp|Q8BY79|S35G1_MOUSE Solute carrier family 35 member G1 OS=Mus musculus OX=10090 GN=Slc35g1 PE=2 SV=1
OG0000186	sp|Q6P6J4|ALKB2_MOUSE DNA oxidative demethylase ALKBH2 OS=Mus musculus OX=10090 GN=Alkbh2 PE=1 SV=1
OG0000187	sp|Q03206|RAC1_CAEEL Ras-related protein ced-10 OS=Caenorhabditis elegans OX=6239 GN=ced-10 PE=1 SV=2
OG0000188	sp|Q87NG3|BCCT3_VIBPA Glycine betaine transporter 1 OS=Vibrio parahaemolyticus serotype O3K6 (strain RIMD 2210633) OX=223926 GN=VP1905 PE=1 SV=1
OG0000189	sp|Q8T4F7|ENA_DROME Protein enabled OS=Drosophila melanogaster OX=7227 GN=ena PE=1 SV=4
OG0000191	sp|A2AJN7|S4A11_MOUSE Sodium bicarbonate transporter-like protein 11 OS=Mus musculus OX=10090 GN=Slc4a11 PE=2 SV=1
OG0000192	sp|Q95SX7|RTBS_DROME Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster OX=7227 GN=RTase PE=2 SV=1
OG0000193	sp|Q04831|GLNA_PANAR Glutamine synthetase OS=Panulirus argus OX=6737 PE=2 SV=1
OG0000194	sp|P30414|NKTR_HUMAN NK-tumor recognition protein OS=Homo sapiens OX=9606 GN=NKTR PE=1 SV=2
OG0000195	sp|P50430|ARSB_RAT Arylsulfatase B OS=Rattus norvegicus OX=10116 GN=Arsb PE=2 SV=2
OG0000196	sp|Q9UGM3|DMBT1_HUMAN Deleted in malignant brain tumors 1 protein OS=Homo sapiens OX=9606 GN=DMBT1 PE=1 SV=2
OG0000197	sp|Q9GL24|CATL1_CANLF Cathepsin L1 OS=Canis lupus familiaris OX=9615 GN=CTSL PE=2 SV=1
OG0000198	sp|P97348|RHOD_MOUSE Rho-related GTP-binding protein RhoD OS=Mus musculus OX=10090 GN=Rhod PE=1 SV=1
OG0000199	sp|Q9WVK8|CP46A_MOUSE Cholesterol 24-hydroxylase OS=Mus musculus OX=10090 GN=Cyp46a1 PE=1 SV=1
OG0000200	sp|P04634|LIPG_RAT Gastric triacylglycerol lipase OS=Rattus norvegicus OX=10116 GN=Lipf PE=1 SV=1
OG0000201	sp|Q27256|WHITE_ANOGA Protein white OS=Anopheles gambiae OX=7165 GN=w PE=2 SV=1
OG0000202	sp|Q708S6|ASI1C_DANRE Acid-sensing ion channel 1C OS=Danio rerio OX=7955 GN=asic1c PE=1 SV=1
OG0000203	sp|P16388|KCNA1_MOUSE Potassium voltage-gated channel subfamily A member 1 OS=Mus musculus OX=10090 GN=Kcna1 PE=1 SV=1
OG0000204	sp|Q1LZI1|UD3A1_BOVIN UDP-glucuronosyltransferase 3A1 OS=Bos taurus OX=9913 GN=UGT3A1 PE=2 SV=1
